,team,score,possession_%,shots_on_target,shots,touches,passes,tackles,clearances,corners,offsides,yellow_cards,red_cards,fouls_conceded
0,Liverpool,2.236842105263158,63.323684210526295,6.078947368421052,15.552631578947368,815.4473684210526,628.2105263157895,14.473684210526315,15.447368421052632,6.7631578947368425,1.394736842105263,1.0,0.02631578947368421,8.710526315789474
0,AFC Bournemouth,1.0526315789473684,43.93421052631581,3.210526315789474,10.236842105263158,584.1842105263158,386.6842105263158,13.342105263157896,24.36842105263158,5.105263157894737,1.763157894736842,1.9473684210526316,0.07894736842105263,9.710526315789474
0,Burnley,1.131578947368421,41.46315789473684,3.526315789473684,10.18421052631579,525.6052631578947,337.2105263157895,14.394736842105264,21.92105263157895,4.5,2.3421052631578947,1.763157894736842,0.0,10.842105263157896
0,Crystal Palace,0.8157894736842105,41.77105263157895,3.026315789473684,9.552631578947368,557.8157894736842,361.57894736842104,17.026315789473685,20.342105263157894,4.368421052631579,1.3421052631578947,1.5789473684210527,0.07894736842105263,10.657894736842104
0,Leicester City,1.763157894736842,56.084210526315786,4.921052631578948,13.81578947368421,709.1842105263158,510.7631578947368,18.763157894736842,17.894736842105264,5.7368421052631575,1.6578947368421053,1.0263157894736843,0.07894736842105263,10.526315789473685
0,Tottenham Hotspur,1.605263157894737,52.121052631578955,4.2105263157894735,11.68421052631579,692.1578947368421,490.63157894736844,17.5,22.13157894736842,5.2631578947368425,1.736842105263158,2.1578947368421053,0.07894736842105263,11.131578947368421
0,Watford,0.9473684210526315,42.492105263157896,3.210526315789474,11.157894736842104,561.3421052631579,370.1842105263158,17.289473684210527,21.63157894736842,4.394736842105263,1.7894736842105263,2.0,0.07894736842105263,12.657894736842104
0,West Ham United,1.2894736842105263,44.00526315789473,4.2894736842105265,10.973684210526315,588.3947368421053,397.39473684210526,18.31578947368421,19.789473684210527,5.0,1.736842105263158,1.631578947368421,0.05263157894736842,10.18421052631579
0,Manchester United,1.736842105263158,55.968421052631584,5.684210526315789,14.31578947368421,720.0,527.8684210526316,15.263157894736842,16.5,5.368421052631579,1.4736842105263157,1.9210526315789473,0.0,11.131578947368421
0,Newcastle United,1.0,37.44736842105262,3.3421052631578947,10.18421052631579,517.2894736842105,334.7894736842105,15.447368421052632,23.92105263157895,3.8947368421052633,1.9736842105263157,1.7105263157894737,0.07894736842105263,9.447368421052632
0,Arsenal,1.4736842105263157,52.09210526315789,3.973684210526316,10.5,661.7105263157895,474.8157894736842,15.289473684210526,18.026315789473685,5.842105263157895,1.894736842105263,2.1578947368421053,0.13157894736842105,10.578947368421053
0,Aston Villa,1.0789473684210527,43.00526315789474,3.8684210526315788,11.81578947368421,550.7631578947369,357.13157894736844,13.342105263157896,21.263157894736842,5.052631578947368,1.605263157894737,1.736842105263158,0.02631578947368421,11.526315789473685
0,Brighton and Hove Albion,1.0263157894736843,52.286842105263155,3.763157894736842,12.157894736842104,676.6842105263158,478.63157894736844,16.86842105263158,18.526315789473685,4.684210526315789,1.868421052631579,1.5,0.05263157894736842,10.157894736842104
0,Chelsea,1.8157894736842106,58.93157894736842,5.7105263157894735,15.868421052631579,789.3947368421053,591.3684210526316,16.57894736842105,15.263157894736842,6.2894736842105265,1.6578947368421053,1.5263157894736843,0.0,9.894736842105264
0,Everton,1.1578947368421053,49.16052631578949,4.2631578947368425,12.342105263157896,615.4736842105264,416.4736842105263,17.657894736842106,19.236842105263158,5.342105263157895,1.5263157894736843,1.8421052631578947,0.07894736842105263,12.421052631578947
0,Manchester City,2.6842105263157894,66.66578947368419,7.0,19.605263157894736,874.7894736842105,692.8684210526316,13.526315789473685,12.526315789473685,7.842105263157895,1.8157894736842106,1.5789473684210527,0.10526315789473684,9.526315789473685
0,Norwich City,0.6842105263157895,48.47105263157896,3.4473684210526314,10.710526315789474,641.3157894736842,447.05263157894734,16.13157894736842,22.894736842105264,4.2368421052631575,1.2894736842105263,1.736842105263158,0.07894736842105263,9.31578947368421
0,Sheffield United,1.0263157894736843,41.805263157894736,2.9210526315789473,8.894736842105264,566.8684210526316,383.36842105263156,15.552631578947368,22.157894736842106,5.368421052631579,2.0526315789473686,1.5263157894736843,0.07894736842105263,10.421052631578947
0,Southampton,1.3421052631578947,47.571052631578944,4.657894736842105,12.631578947368421,604.7631578947369,401.5,17.94736842105263,21.236842105263158,5.2105263157894735,1.5,1.3157894736842106,0.10526315789473684,11.394736842105264
0,Wolverhampton Wanderers,1.3421052631578947,48.24210526315788,3.8947368421052633,12.131578947368421,633.3157894736842,441.1578947368421,17.0,17.157894736842106,5.078947368421052,1.2894736842105263,1.5,0.05263157894736842,10.710526315789474
